DB00OBJ;Feld;Klartext von;Klartext transformieren;negativ;positiv
DB001111.DBF;BST;;;;VST
DB001111.DBF;AUSBAUIN;;;;AUSBAUGEG
DB001111.DBF;AUSBAUGEG;;;;AUSBAUIN
DB001112.DBF;VST;;;;BST
DB001112.DBF;BST;;;;VST
DB001112.DBF;RABSTBAVST;;;RABSTBAVST;
DB001112.DBF;RLAGEVST;RLAGEVST;142;;
DB001112.DBF;LAGE;LAGE;LAGE1112;;
DB001117.DBF;VST;;;;BST
DB001117.DBF;BST;;;;VST
DB001117.DBF;RABSTBAVST;;;RABSTBABST;
DB001117.DBF;RABSTBABST;;;RABSTBAVST;
DB001117.DBF;RLAGEVST;RLAGEBST;142;;
DB001117.DBF;RLAGEBST;RLAGEVST;142;;
DB001117.DBF;VLIN;BLIN;142;;
DB001117.DBF;BLIN;VLIN;142;;
DB001117.DBF;BLAGE;;LAGE1117;;
DB001117.DBF;VLAGE;;LAGE1117;;
DB001122.DBF;VST;;;;BST
DB001122.DBF;BST;;;;VST
DB001125.DBF;VST;;;;BST
DB001125.DBF;BST;;;;VST
DB001136.DBF;VST;;;;BST
DB001136.DBF;BST;;;;VST
DB001136.DBF;RABSTBAVST;;;RABSTBAVST;
DB001136.DBF;RLAGEVST;RLAGEVST;142;;
DB001137.DBF;VST;;;;BST
DB001137.DBF;BST;;;;VST
DB001137.DBF;RABSTBAVST;;;RABSTBAVST;
DB001137.DBF;RLAGEVST;RLAGEVST;142;;
DB001138.DBF;VST;;;;BST
DB001138.DBF;BST;;;;VST
DB001138.DBF;RABSTBAVST;;;RABSTBAVST;
DB001138.DBF;RLAGEVST;RLAGEVST;142;;
DB001140.DBF;VST;;;;BST
DB001140.DBF;BST;;;;VST
DB001140.DBF;RABSTBAVST;;;RABSTBABST;
DB001140.DBF;RABSTBABST;;;RABSTBAVST;
DB001140.DBF;RLAGEVST;RLAGEBST;142;;
DB001140.DBF;RLAGEBST;RLAGEVST;142;;
DB001141.DBF;VST;;;;BST
DB001141.DBF;BST;;;;VST
DB001141.DBF;RABSTBAVST;;;RABSTBABST;
DB001141.DBF;RABSTBABST;;;RABSTBAVST;
DB001141.DBF;RLAGEVST;RLAGEBST;142;;
DB001141.DBF;RLAGEBST;RLAGEVST;142;;
DB001141.DBF;INRICHTUNG;;Richtung1141;;
DB001143.DBF;VST;;;;BST
DB001143.DBF;BST;;;;VST
DB001143.DBF;RABSTBAVST;;;RABSTBABST;
DB001143.DBF;RABSTBABST;;;RABSTBAVST;
DB001143.DBF;RLAGEVST;RLAGEVST;142;;
DB001144.DBF;VST;;;;BST
DB001144.DBF;BST;;;;VST
DB001144.DBF;RBEZUG;RBEZUG;674;;
DB001145.DBF;VST;;;;BST
DB001145.DBF;BST;;;;VST
DB001145.DBF;LAGE;LAGE;846;;
DB001146.DBF;VST;;;;BST
DB001146.DBF;BST;;;;VST
DB001146.DBF;RLAGEVST;RLAGEVST;142;;
DB001146.DBF;ABSTAND;;;ABSTAND;
DB001147.DBF;VST;;;;BST
DB001147.DBF;BST;;;;VST
DB001147.DBF;RABSTBAVST;;;RABSTBABST;
DB001147.DBF;RABSTBABST;;;RABSTBAVST;
DB001147.DBF;FBLAGE;FBLAGE;856;;
DB001147.DBF;HOEHEVST;;;HOEHEBST;
DB001147.DBF;HOEHEBST;;;HOEHEVST;
DB001148.DBF;VST;;;;BST
DB001148.DBF;BST;;;;VST
DB001149.DBF;VST;;;;BST
DB001149.DBF;BST;;;;VST
DB001149.DBF;RABSTBAVST;;;RABSTBAVST;
DB001149.DBF;RLAGEVST;RLAGEVST;142;;
DB001150.DBF;VST;;;;BST
DB001150.DBF;BST;;;;VST
DB001153.DBF;VST;;;;BST
DB001153.DBF;BST;;;;VST
DB001153.DBF;RABSTBAVST;;;RABSTBAVST;
DB001153.DBF;RLAGEVST;RLAGEVST;142;;
DB001153.DBF;LAGE;LAGE;534;;
DB001154.DBF;VST;;;;BST
DB001154.DBF;BST;;;;VST
DB001155.DBF;VST;;;;BST
DB001155.DBF;BST;;;;VST
DB001155.DBF;RABSTBAVST;;;RABSTBAVST;
DB001155.DBF;RLAGEVST;RLAGEVST;142;;
DB001156.DBF;VST;;;;BST
DB001156.DBF;BST;;;;VST
DB001156.DBF;RLAGEVST;RLAGEVST;142;;
DB001156.DBF;RABSTBAVST;;;RABSTBABST;
DB001156.DBF;RABSTBABST;;;RABSTBAVST;
DB001156.DBF;HOEHEVST;;;HOEHEBST;
DB001156.DBF;HOEHEBST;;;HOEHEVST;
DB001157.DBF;VST;;;;BST
DB001157.DBF;BST;;;;VST
DB001158.DBF;VST;;;;BST
DB001158.DBF;BST;;;;VST
DB001158.DBF;RABSTBAVST;;;RABSTBAVST;
DB001158.DBF;RLAGEVST;RLAGEVST;142;;
DB001159.DBF;VST;;;;BST
DB001159.DBF;BST;;;;VST
DB001159.DBF;RLAGEVST;RLAGEVST;142;;
DB001159.DBF;RABSTBAVST;;;RABSTBABST;
DB001159.DBF;RABSTBABST;;;RABSTBAVST;
DB001160.DBF;VST;;;;BST
DB001160.DBF;BST;;;;VST
DB001160.DBF;FAHRTRICHT;FAHRTRICHT;886;;
DB001161.DBF;VST;;;;BST
DB001161.DBF;BST;;;;VST
DB001161.DBF;RICHTUNG;RICHTUNG;890;;
DB001162.DBF;VST;;;;BST
DB001162.DBF;BST;;;;VST
DB001163.DBF;VST;;;;BST
DB001163.DBF;BST;;;;VST
DB001165.DBF;VST;;;;BST
DB001165.DBF;BST;;;;VST
DB001166.DBF;VST;;;;BST
DB001166.DBF;BST;;;;VST
DB001167.DBF;VST;;;;BST
DB001167.DBF;BST;;;;VST
DB001167.DBF;RABSTBAVST;;;RABSTBAVST;
DB001167.DBF;RLAGEVST;RLAGEVST;142;;
DB001168.DBF;VST;;;;BST
DB001168.DBF;BST;;;;VST
DB001169.DBF;VST;;;;BST
DB001169.DBF;BST;;;;VST
DB001195.DBF;VST;;;;BST
DB001195.DBF;BST;;;;VST
DB001196.DBF;VST;;;;BST
